"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
58,10533,20.61,1.5,Corné DU PLESSIS,20 MAR 1978,RSA,2sf2,Beijing (CHN),31 AUG 2001,1126
59,10533,20.61,-0.4,Marcin URBAŚ,17 SEP 1976,POL,1,Kraków (POL),19 MAY 2002,1128
60,10533,20.61,1.1,Marek PLAWGO,25 FEB 1981,POL,3,Biala Podlaska (POL),25 MAY 2002,1126
61,10533,20.61,-2.7,Dwight THOMAS,23 SEP 1980,JAM,1,Kingston (JAM),22 JUN 2002,1142
62,10533,20.61,2.0,Antoine BOUSSOMBO,18 MAY 1968,GAB,2,Edmonton (CAN),23 JUN 2002,1126
63,10533,20.61,1.9,Leo SETTLE,19 OCT 1975,USA,1,Stadskanaal (NED),30 JUN 2002,1126
64,10533,20.61,-0.4,Usain BOLT,21 AUG 1986,JAM,1,Bridgetown (BAR),06 JUL 2002,1128
65,10533,20.61,0.9,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Kingston (JAM)",19 JUL 2002,1126
66,10533,20.61,0.9,Johan WISSMAN,02 NOV 1982,SWE,1,Karlstad (SWE),25 JUL 2002,1126
67,10533,20.61,0.5,Marlon DEVONISH,01 JUN 1976,GBR,1h1,Manchester (GBR),28 JUL 2002,1126
68,10533,20.61,0.0,Joseph BATANGDON,29 JUL 1978,CMR,1h3,Manchester (GBR),28 JUL 2002,1126
69,10533,20.61,0.8,Christian MALCOLM,03 JUN 1979,GBR,3qf1,Manchester (GBR),28 JUL 2002,1126
70,10533,20.61,0.4,Stéphan BUCKLAND,12 JAN 1977,MRI,5sf2,Manchester (GBR),29 JUL 2002,1126
71,10533,20.61,0.9,Kelly WILLIE,07 SEP 1982,USA,1,"Baton Rouge, LA (USA)",03 MAY 2003,1126
72,10533,20.61,0.0,Kyle FARMER,15 APR 1983,USA,2,"Fairfax, VA (USA)",31 MAY 2003,1126
73,10533,20.61,,Dominic DEMERITTE,22 FEB 1978,BAH,1,Nassau (BAH),21 JUN 2003,1126
74,10533,20.61,1.4,Marlon DEVONISH,01 JUN 1976,GBR,2h2,Birmingham (GBR),27 JUL 2003,1126
75,10533,20.61,0.2,Uchenna EMEDOLU,17 SEP 1976,NGR,3,Thessaloniki (GRE),03 AUG 2003,1126
76,10533,20.61,1.1,Elston CAWLEY,24 JUN 1976,JAM,1,"Lubbock, TX (USA)",20 MAR 2004,1126
77,10533,20.61,0.4,Aziz ZAKARI,02 SEP 1976,GHA,2,Dakar (SEN),03 APR 2004,1126
78,10533,20.61,0.3,Brendan CHRISTIAN,11 DEC 1983,ANT,1h3,"Norman, OK (USA)",30 APR 2004,1126
79,10533,20.61,0.0,Christopher WILLIAMS,15 MAR 1972,JAM,2,Kingston (JAM),07 MAY 2004,1126
80,10533,20.61,1.5,Jeremy WARINER,31 JAN 1984,USA,2,"Atlanta, GA (USA)",15 MAY 2004,1126
81,10533,20.61,-0.2,Juan Pedro TOLEDO,17 JUN 1978,MEX,3,Ciudad de México (MEX),22 MAY 2004,1127
82,10533,20.61,0.0,Johan WISSMAN,02 NOV 1982,SWE,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2004,1126
83,10533,20.61,0.0,Panagiotis SARRIS,14 SEP 1975,GRE,4,Rethymno (GRE),23 JUN 2004,1126
84,10533,20.61,-1.2,Tobias UNGER,10 JUL 1979,GER,2,Rhede (GER),27 JUN 2004,1133
85,10533,20.61,0.6,Leo BOOKMAN,30 JAN 1982,USA,1,"Bloomington, IN (USA)",03 JUL 2004,1126
86,10533,20.61,0.0,Matic OSOVNIKAR,19 JAN 1980,SLO,1,Velenje (SLO),11 JUL 2004,1126
87,10533,20.61,0.3,Jordan VADEN,15 SEP 1978,USA,2h5,"Sacramento, CA (USA)",16 JUL 2004,1126
88,10533,20.61,-0.2,Paul HESSION,27 JAN 1983,IRL,1,Thessaloniki (GRE),19 JUL 2004,1127
89,10533,20.61,-0.2,Panagiotis SARRIS,14 SEP 1975,GRE,2,Thessaloniki (GRE),19 JUL 2004,1127
90,10533,20.61,0.5,Paul HESSION,27 JAN 1983,IRL,2,Ljubljana (SLO),10 AUG 2004,1126
91,10533,20.61,0.5,Dominic DEMERITTE,22 FEB 1978,BAH,6qf3,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1126
92,10533,20.61,0.0,Leigh JULIUS,25 MAR 1985,RSA,1,Potchefstroom (RSA),04 FEB 2005,1126
93,10533,20.61,1.2,J-Mee SAMUELS,20 MAY 1987,USA,1,"Greensboro, NC (USA)",21 MAY 2005,1126
94,10533,20.61,1.0,Kenneth BAXTER,17 APR 1982,USA,12sf2,"Sacramento, CA (USA)",09 JUN 2005,1126
95,10533,20.61,-0.7,Rodney MARTIN,22 DEC 1982,USA,5,"Sacramento, CA (USA)",11 JUN 2005,1130
96,10533,20.61,0.8,Darrel BROWN,11 OCT 1984,TTO,1,Lappeenranta (FIN),21 JUL 2005,1126
97,10533,20.61,0.7,André Domingos DA SILVA,26 NOV 1972,BRA,1,Tallinn (EST),16 AUG 2005,1126
98,10533,20.61,1.4,Aaron ARMSTRONG,14 OCT 1977,TTO,6,Sheffield (GBR),21 AUG 2005,1126
99,10533,20.61,-0.3,Guus HOOGMOED,27 SEP 1981,NED,5,Shanghai (CHN),17 SEP 2005,1127
0,10533,20.61,0.5,Aaron ARMSTRONG,14 OCT 1977,TTO,5,Melbourne (AUS),23 MAR 2006,1126
1,10533,20.61,1.3,Omar BROWN,21 JUN 1982,JAM,4,"National Stadium, Kingston (JAM)",06 MAY 2006,1126
2,10533,20.61,1.3,Preston PERRY,13 SEP 1983,USA,2,"Houston, TX (USA)",06 MAY 2006,1126
3,10533,20.61,0.5,Bernard WILLIAMS,19 JAN 1978,USA,2,Ostrava (CZE),30 MAY 2006,1126
4,10533,20.61,-0.1,Wallace SPEARMON,24 DEC 1984,USA,3h,"Indianapolis, IN (USA)",24 JUN 2006,1126
5,10533,20.61,1.3,Ricardo WILLIAMS,29 SEP 1976,JAM,2,Kingston (JAM),25 JUN 2006,1126
6,10533,20.61,-0.1,Otis MCDANIEL,30 JUN 1986,USA,1,Santo Domingo (DOM),08 JUL 2006,1126
7,10533,20.61,1.0,Darvis PATTON,04 DEC 1977,USA,2,Chania (GRE),17 JUL 2006,1126
8,10533,20.61,1.7,Kristof BEYENS,13 JUL 1983,BEL,2h1,"Ullevi Stadium, Göteborg (SWE)",09 AUG 2006,1126
9,10533,20.61,-1.5,Uchenna EMEDOLU,17 SEP 1976,NGR,1,Bambous (MRI),13 AUG 2006,1135
10,10533,20.61,-0.8,Rubin WILLIAMS,09 JUL 1983,USA,1h,"Columbia, MO (USA)",25 MAY 2007,1130
11,10533,20.61,1.3,Scott WIMS,30 MAY 1988,USA,5sf2,"Sacramento, CA (USA)",07 JUN 2007,1126
12,10533,20.61,-1.0,Paul HESSION,27 JAN 1983,IRL,1,Vaasa (FIN),24 JUN 2007,1132
13,10533,20.61,-1.0,Johan WISSMAN,02 NOV 1982,SWE,2,Vaasa (FIN),24 JUN 2007,1132
14,10533,20.61,-0.3,Kerron CLEMENT,31 OCT 1985,USA,4sf2,"Indianapolis, IN (USA)",24 JUN 2007,1127
15,10533,20.61,0.1,Dwight THOMAS,23 SEP 1980,JAM,6,Thessaloniki (GRE),30 JUL 2007,1126
16,10533,20.61,-0.1,Paul HESSION,27 JAN 1983,IRL,5,"Crystal Palace, London (GBR)",03 AUG 2007,1126
17,10533,20.61,-0.1,Francis OBIKWELU,22 NOV 1978,POR,4h6,"Yanmar Stadium Nagai, Osaka (JPN)",28 AUG 2007,1126
18,10533,20.61,-0.8,Marvin ANDERSON,12 MAY 1982,JAM,3,"Olympiastadion, Berlin (GER)",16 SEP 2007,1130
19,10533,20.61,0.4,Chris DYKES,15 AUG 1987,USA,1h2,"Lincoln, NE (USA)",30 MAY 2008,1126
20,10533,20.61,-0.3,Alexander KOSENKOW,14 MAR 1977,GER,3,"Parc des Sports, Annecy (FRA)",22 JUN 2008,1127
21,10533,20.61,1.6,Samuel FRANCIS,27 MAR 1987,QAT,1,Sofia (BUL),30 JUN 2008,1126
22,10533,20.61,1.4,Bernard WILLIAMS,19 JAN 1978,USA,1qf2,"Eugene, OR (USA)",05 JUL 2008,1126
23,10533,20.61,1.4,Xavier CARTER,08 DEC 1985,USA,2qf2,"Eugene, OR (USA)",05 JUL 2008,1126
24,10533,20.61,1.7,Rubin WILLIAMS,09 JUL 1983,USA,6,"Eugene, OR (USA)",06 JUL 2008,1126
25,10533,20.61,0.9,Alex NELSON,21 MAR 1988,GBR,2,Birmingham (GBR),13 JUL 2008,1126
26,10533,20.61,1.9,Christian MALCOLM,03 JUN 1979,GBR,1sf1,Birmingham (GBR),13 JUL 2008,1126
27,10533,20.61,-0.9,Ángel David RODRÍGUEZ,25 APR 1980,ESP,5,Barcelona (ESP),19 JUL 2008,1131
28,10533,20.61,0.9,Seth AMOO,20 MAR 1983,GHA,1f2,Leverkusen (GER),30 JUL 2008,1126
29,10533,20.61,0.1,Shawn CRAWFORD,14 JAN 1978,USA,1h1,"National Stadium, Beijing (CHN)",18 AUG 2008,1126
30,10533,20.61,1.2,Paul HESSION,27 JAN 1983,IRL,3,"International Stadium, Gateshead (GBR)",31 AUG 2008,1126
31,10533,20.61,0.6,Kim COLLINS,05 APR 1976,SKN,5,Rieti (ITA),07 SEP 2008,1126
32,10533,20.61,-0.1,Brendan CHRISTIAN,11 DEC 1983,ANT,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 SEP 2008,1126
33,10533,20.61,0.6,Thuso MPUANG,01 MAR 1984,RSA,1,Stellenbosch (RSA),04 APR 2009,1126
34,10533,20.61,1.5,Deun WHITE,13 JUL 1985,USA,1,"Walnut, CA (USA)",18 APR 2009,1126
35,10533,20.61,,Rubin WILLIAMS,09 JUL 1983,USA,4,"Walnut, CA (USA)",18 APR 2009,1126
36,10533,20.61,1.6,Michael RODGERS,24 APR 1985,USA,3f2,"Austin, TX (USA)",02 MAY 2009,1126
37,10533,20.61,-0.4,Jordan BOASE,10 OCT 1985,USA,1,"Seattle, WA (USA)",02 MAY 2009,1128
38,10533,20.61,0.2,Naoki TSUKAHARA,10 MAY 1985,JPN,3,Shizuoka (JPN),03 MAY 2009,1126
39,10533,20.61,-0.9,Brendan CHRISTIAN,11 DEC 1983,ANT,1,Ponce (PUR),16 MAY 2009,1131
40,10533,20.61,1.6,Bruno DE BARROS,07 JAN 1987,BRA,2f1,Rio de Janeiro (BRA),17 MAY 2009,1126
41,10533,20.61,1.4,Brian DZINGAI,29 APR 1981,ZIM,1,Heusden-Zolder (BEL),18 JUL 2009,1126
42,10533,20.61,-0.2,Ihor BODROV,09 JUL 1987,UKR,3,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",18 JUL 2009,1127
43,10533,20.61,-0.7,Aleixo Platini MENGA,29 SEP 1987,GER,1sf2,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",18 JUL 2009,1130
44,10533,20.61,1.2,Renny QUOW,25 AUG 1987,TTO,1,Port-of-Spain (TTO),26 JUL 2009,1126
45,10533,20.61,-0.3,Ramil GULIYEV,29 MAY 1990,AZE,7,"Olympiastadion, Berlin (GER)",20 AUG 2009,1127
46,10533,20.61,0.0,Brendan CHRISTIAN,11 DEC 1983,ANT,4,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1126
47,10533,20.61,-0.5,Kenji FUJIMITSU,01 MAY 1986,JPN,1,Niigata (JPN),04 OCT 2009,1129
48,10533,20.61,0.0,Jared CONNAUGHTON,20 JUL 1985,CAN,2,Osaka (JPN),08 MAY 2010,1126
49,10533,20.61,0.5,Gerald PHIRI,06 OCT 1988,ZAM,2,"Columbia, MO (USA)",16 MAY 2010,1126
50,10533,20.61,0.0,Marc SCHNEEBERGER,05 JUL 1981,SUI,1f1,Weinheim (GER),22 MAY 2010,1126
51,10533,20.61,0.7,Ihor BODROV,09 JUL 1987,UKR,1f2,Yalta (UKR),28 MAY 2010,1126
52,10533,20.61,-0.7,Jonathan BORLÉE,22 FEB 1988,BEL,1f2,Oordegem (BEL),05 JUN 2010,1130
53,10533,20.61,0.6,Oral THOMPSON,11 DEC 1982,JAM,1f1,Kingston (JAM),05 JUN 2010,1126
54,10533,20.61,-0.9,Daniel SCHNELTING,09 MAR 1986,GER,1f2,Bottrop (GER),09 JUL 2010,1131
55,10533,20.61,0.6,Leford GREEN,14 NOV 1986,JAM,1h3,"Charlotte, NC (USA)",18 MAR 2011,1126
56,10533,20.61,1.0,Marvin ANDERSON,12 MAY 1982,JAM,2h4,Kingston (JAM),25 JUN 2011,1126
57,10533,20.61,0.7,Kenroy ANDERSON,27 JUN 1987,JAM,3sf2,Kingston (JAM),25 JUN 2011,1126
58,10533,20.61,0.8,Arnaldo ABRANTES,27 NOV 1986,POR,2f2,La Chaux-de-Fonds (SUI),03 JUL 2011,1126
59,10533,20.61,-0.6,Mario FORSYTHE,30 OCT 1985,JAM,4,Paris (FRA),08 JUL 2011,1129
60,10533,20.61,0.4,Nilson Andre DE OLIVEIRA,30 JAN 1986,BRA,1h2,São Paulo (BRA),06 AUG 2011,1126
61,10533,20.61,1.4,Anaso JOBODWANA,30 JUL 1992,RSA,2f1,"Oxford, MS (USA)",31 MAR 2012,1126
62,10533,20.61,0.8,Bruno DE BARROS,07 JAN 1987,BRA,6,Belém (BRA),06 MAY 2012,1126
63,10533,20.61,1.6,James JOHNSON,31 JUL 1991,USA,1,"San Marcos, TX (USA)",13 MAY 2012,1126
64,10533,20.61,0.3,Aaron ERNEST,08 NOV 1993,USA,2h1,"Jacksonville, FL (USA)",25 MAY 2012,1126
65,10533,20.61,1.8,James ALAKA,08 SEP 1989,GBR,3sf2,"Austin, TX (USA)",26 MAY 2012,1126
66,10533,20.61,-1.1,Adam GEMILI,06 OCT 1993,GBR,1h2,Bedford (GBR),17 JUN 2012,1132
67,10533,20.61,-0.3,Jonathan BORLÉE,22 FEB 1988,BEL,1h1,"Olympiastadion, Helsinki (FIN)",29 JUN 2012,1127
68,10533,20.61,-1.2,Ben Youssef MEITÉ,11 NOV 1986,CIV,1sf2,Porto Novo (BEN),30 JUN 2012,1133
69,10533,20.61,1.7,Kenroy ANDERSON,27 JUN 1987,JAM,5sf2,Kingston (JAM),30 JUN 2012,1126
70,10533,20.61,-0.9,Tremaine HARRIS,10 FEB 1992,CAN,1h4,Calgary (CAN),30 JUN 2012,1131
71,10533,20.61,0.7,Deji TOBAIS,31 OCT 1991,GBR,1,Heusden-Zolder (BEL),07 JUL 2012,1126
72,10533,20.61,0.0,Diondre BATSON,13 JUL 1992,USA,1f1,"Tuscaloosa, AL (USA)",06 APR 2013,1126
73,10533,20.61,0.0,Jeremy DODSON,30 AUG 1987,USA,1,"Longmont, CO (USA)",03 MAY 2013,1126
74,10533,20.61,0.4,Bruno DE BARROS,07 JAN 1987,BRA,1f1,Campinas (BRA),04 MAY 2013,1126
75,10533,20.61,0.0,Darvis PATTON,04 DEC 1977,USA,6,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2013,1126
76,10533,20.61,2.0,Daveon COLLINS,03 OCT 1992,USA,2h2,"Austin, TX (USA)",24 MAY 2013,1126
77,10533,20.61,1.2,Lalonde GORDON,25 NOV 1988,TTO,1h4,Port-of-Spain (TTO),23 JUN 2013,1126
78,10533,20.61,0.2,Maurice MITCHELL,22 DEC 1989,USA,7,Paris (FRA),06 JUL 2013,1126
79,10533,20.61,0.0,Delano WILLIAMS,23 DEC 1993,GBR,7sf1,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1126
80,10533,20.61,0.0,Shota IIZUKA,25 JUN 1991,JPN,7sf2,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1126
81,10533,20.61,0.0,Aldemir JUNIOR,08 JUN 1992,BRA,1f1,São Paulo (BRA),09 MAR 2014,1126
82,10533,20.61,0.3,Julian FORTE,07 JAN 1993,JAM,4,"National Stadium, Kingston (JAM)",03 MAY 2014,1126
83,10533,20.61,0.6,Yuki KOIKE,13 MAY 1995,JPN,3f2,Fukuroi (JPN),03 MAY 2014,1126
84,10533,20.61,0.9,Jason LIVERMORE,25 APR 1988,JAM,1f8,Kingston (JAM),17 MAY 2014,1126
85,10533,20.61,0.8,Carvin NKANATA,06 MAY 1991,KEN,1h6,"Jacksonville, FL (USA)",30 MAY 2014,1126
86,10533,20.61,-0.6,Daniel TALBOT,01 MAY 1991,GBR,1,Bedford (GBR),01 JUN 2014,1129
87,10533,20.61,0.3,Ramil GULIYEV,29 MAY 1990,TUR,5,"Stadion Juliska, Praha (CZE)",09 JUN 2014,1126
88,10533,20.61,0.6,Just'N THYMES,24 JAN 1994,USA,3f4,"Chula Vista, CA (USA)",14 JUN 2014,1126
89,10533,20.61,-0.8,Adam GEMILI,06 OCT 1993,GBR,2,Birmingham (GBR),28 JUN 2014,1130
90,10533,20.61,1.1,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,1f1,Sundsvall (SWE),20 JUL 2014,1126
91,10533,20.61,0.3,Robin EREWA,24 JUN 1991,GER,1,Ulm (GER),27 JUL 2014,1126
92,10533,20.61,0.4,Alex WILSON,19 SEP 1990,SUI,3h2,"Letzigrund, Zürich (SUI)",14 AUG 2014,1126
93,10533,20.61,0.9,Brijesh LAWRENCE,27 DEC 1989,SKN,1h2,Ciudad de México (MEX),16 AUG 2014,1126
94,10533,20.61,-0.9,Serhiy SMELYK,19 APR 1987,UKR,7,"Letzigrund, Zürich (SUI)",28 AUG 2014,1131
95,10533,20.61,1.8,Remontay MCCLAIN,21 SEP 1992,USA,f1,"Los Angeles, CA (USA)",11 APR 2015,1126
96,10533,20.61,-0.5,Zhenye XIE,17 AUG 1993,CHN,3,"Todoroki Stadium, Kawasaki (JPN)",10 MAY 2015,1129
97,10533,20.61,-0.2,Timothy FAUST,1992,USA,1h4,"East Lansing, MI (USA)",16 MAY 2015,1127
98,10533,20.61,1.4,Emmanuel DASOR,14 SEP 1995,GHA,1,"El Paso, TX (USA)",17 MAY 2015,1126
99,10533,20.61,0.3,Tremayne ACY,21 JAN 1995,USA,1h2,"Jacksonville, FL (USA)",29 MAY 2015,1126
0,10533,20.61,1.3,Christian COLEMAN,06 MAR 1996,USA,4qf3,"Jacksonville, FL (USA)",30 MAY 2015,1126
1,10533,20.61,0.9,Pierre Alexis PESSONNEAUX,25 NOV 1987,FRA,1f1,Genève (SUI),06 JUN 2015,1126
2,10533,20.61,1.7,Christian COLEMAN,06 MAR 1996,USA,5sf1,"Eugene, OR (USA)",10 JUN 2015,1126
3,10533,20.61,1.0,Mario FORSYTHE,30 OCT 1985,JAM,1h1,Kingston (JAM),27 JUN 2015,1126
4,10533,20.61,1.6,Jermaine BROWN,04 JUL 1991,JAM,3sf1,Kingston (JAM),27 JUN 2015,1126
5,10533,20.61,1.1,Sheldon MITCHELL,19 JUL 1990,JAM,4sf2,Kingston (JAM),27 JUN 2015,1126
6,10533,20.61,0.9,Daniel TALBOT,01 MAY 1991,GBR,2,Birmingham (GBR),04 JUL 2015,1126
7,10533,20.61,-1.2,Stirley JONES,13 DEC 1984,USA,1f6,"Randalls Island, NY (USA)",11 JUL 2015,1133
8,10533,20.61,0.6,Jeffrey JOHN,06 JUN 1992,FRA,3,Villeneuve d'Ascq (FRA),12 JUL 2015,1126
9,10533,20.61,1.0,Rondel SORRILLO,24 JAN 1986,TTO,6sf2,"CIBC, Toronto (CAN)",23 JUL 2015,1126
10,10533,20.61,-0.4,Isiah YOUNG,05 JAN 1990,USA,6,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1128
11,10533,20.61,1.3,Fred KERLEY,07 MAY 1995,USA,1f1,"Tempe, AZ (USA)",19 MAR 2016,1126
12,10533,20.61,0.1,Joseph MORRIS,04 OCT 1989,USA,3f9,"Waco, TX (USA)",23 APR 2016,1126
13,10533,20.61,1.3,Elijah MORROW,30 OCT 1995,USA,2h1,"Tuscaloosa, AL (USA)",12 MAY 2016,1126
14,10533,20.61,-0.1,Tevin HESTER,10 JAN 1994,USA,1h4,"Tallahassee, FL (USA)",13 MAY 2016,1126
15,10533,20.61,0.3,Kenzo COTTON,13 MAY 1996,USA,3sf3,"Eugene, OR (USA)",08 JUN 2016,1126
16,10533,20.61,1.3,Adama JAMMEH,10 JUN 1993,GAM,1h2,Amiens (FRA),11 JUN 2016,1126
17,10533,20.61,0.2,Joseph MORRIS,04 OCT 1989,USA,2,Burnaby (CAN),17 JUN 2016,1126
18,10533,20.61,0.2,Karol ZALEWSKI,07 AUG 1993,POL,1,Bydgoszcz (POL),26 JUN 2016,1126
19,10533,20.61,-0.2,Robin EREWA,24 JUN 1991,GER,5h2,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1127
20,10533,20.61,0.6,Kyle GREAUX,26 APR 1988,TTO,4h9,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1126
21,10533,20.61,0.9,Tom GAMBLE,25 NOV 1991,AUS,1h1,Canberra (AUS),17 FEB 2017,1126
22,10533,20.61,1.7,Sibusiso MATSENJWA,02 MAY 1988,SWZ,3f5,Pretoria (RSA),04 MAR 2017,1126
23,10533,20.61,0.3,Jaylen BACON,05 AUG 1996,USA,2f1,"Tempe, AZ (USA)",08 APR 2017,1126
24,10533,20.61,0.3,Jeremy DODSON,30 AUG 1987,SAM,1f1,"Torrance, CA (USA)",15 APR 2017,1126
25,10533,20.61,0.3,Just'N THYMES,24 JAN 1994,USA,1f1,"Torrance, CA (USA)",15 APR 2017,1126
26,10533,20.61,1.1,Dedric DUKES,04 FEB 1992,USA,1f1,"San Marcos, TX (USA)",22 APR 2017,1126
27,10533,20.61,1.0,Joachim Hendrik MAARTENS,24 MAY 1996,RSA,1sf1,Cape Town (RSA),29 APR 2017,1126
28,10533,20.61,-0.3,Ventavius SEARS,14 MAY 1995,USA,1h2,"El Paso, TX (USA)",13 MAY 2017,1127
29,10533,20.61,1.7,Chris JEFFERSON,,USA,1,"New Orleans, LA (USA)",14 MAY 2017,1126
30,10533,20.61,1.8,Méba Mickaël ZEZE,19 MAY 1994,FRA,1f1,Dijon (FRA),21 MAY 2017,1126
31,10533,20.61,1.7,Tatenda TSUMBA,12 NOV 1991,ZIM,3h6,"Austin, TX (USA)",26 MAY 2017,1126
32,10533,20.61,-0.5,Ryan SHIELDS,12 MAY 1983,JAM,3f1,Andújar (ESP),02 JUN 2017,1129
33,10533,20.61,0.6,Brendon RODNEY,09 APR 1992,CAN,6,"Stadio Olimpico, Roma (ITA)",08 JUN 2017,1126
34,10533,20.61,-3.1,Kyree KING,09 JUL 1994,USA,4,"Eugene, OR (USA)",09 JUN 2017,1144
35,10533,20.61,1.5,Winston GEORGE,19 MAY 1987,GUY,1h1,"New York, NY (USA)",10 JUN 2017,1126
36,10533,20.61,1.3,Bruno DE BARROS,07 JAN 1987,BRA,2,Sao Bernardo do Campo (BRA),11 JUN 2017,1126
37,10533,20.61,1.3,Derick SILVA,23 APR 1998,BRA,3,Sao Bernardo do Campo (BRA),11 JUN 2017,1126
38,10533,20.61,0.6,Ján VOLKO,02 NOV 1996,SVK,2f1,"Hadar Yosef Stadium, Tel Aviv (ISR)",24 JUN 2017,1126
39,10533,20.61,-0.4,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,1h2,Osaka (JPN),24 JUN 2017,1128
40,10533,20.61,-2.9,Marqueze WASHINGTON,29 SEP 1993,USA,6sf1,"Sacramento, CA (USA)",25 JUN 2017,1143
41,10533,20.61,-0.5,Adama JAMMEH,10 JUN 1993,GAM,2f1,Ouagadougou (BUR),15 JUL 2017,1129
42,10533,20.61,0.1,Burkheart ELLIS JR,18 SEP 1992,BAR,2f1,Freeport (BAH),22 JUL 2017,1126
43,10533,20.61,0.3,Alonso EDWARD,08 DEC 1989,PAN,4h3,"Olympic Stadium, London (GBR)",07 AUG 2017,1126
44,10533,20.61,0.7,Winston GEORGE,19 MAY 1987,GUY,3h7,"Olympic Stadium, London (GBR)",07 AUG 2017,1126
45,10533,20.61,-0.3,Ján VOLKO,02 NOV 1996,SVK,6sf2,"Olympic Stadium, London (GBR)",09 AUG 2017,1127
46,10533,20.61,-0.6,Trentavis FRIDAY,05 JUN 1995,USA,4,Johannesburg (RSA),01 MAR 2018,1129
47,10533,20.61,0.3,Leon REID,26 JUL 1994,GBR,2sf3,Gold Coast (AUS),11 APR 2018,1126
48,10533,20.61,-0.2,Alex WILSON,19 SEP 1990,SUI,4f1,"Clermont, FL (USA)",28 APR 2018,1127
49,10533,20.61,0.2,Lamont Marcell JACOBS,26 SEP 1994,ITA,1f1,Campi Bisenzio (ITA),06 MAY 2018,1126
50,10533,20.61,0.8,Walter DIX,31 JAN 1986,USA,4f1,"Clermont, FL (USA)",12 MAY 2018,1126
51,10533,20.61,1.9,Maxwell WILLIS,02 SEP 1998,USA,2h2,"Waco, TX (USA)",12 MAY 2018,1126
52,10533,20.61,0.9,Kenji FUJIMITSU,01 MAY 1986,JPN,4,"Yanmar Stadium Nagai, Osaka (JPN)",20 MAY 2018,1126
53,10533,20.61,0.5,Cravon GILLESPIE,31 JUL 1996,USA,1h2,"Sacramento, CA (USA)",25 MAY 2018,1126
54,10533,20.61,0.1,Renard HOWELL,03 MAR 1995,JAM,4qf1,"Tampa, FL (USA)",26 MAY 2018,1126
55,10533,20.61,0.3,Andrew HUDSON,14 DEC 1996,USA,3h1,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,1126
56,10533,20.61,-0.6,Justin WALKER,30 NOV 1990,USA,2sf2,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1129
57,10533,20.61,0.2,Shane BRATHWAITE,08 FEB 1990,BAR,5f2,Luzern (SUI),09 JUL 2018,1126
58,10533,20.61,0.7,Jun YAMASHITA,23 AUG 1997,JPN,4f1,Kortrijk (BEL),14 JUL 2018,1126
59,10533,20.61,-0.3,Salem Eid YAQOOB,01 MAR 1996,BRN,1sf1,Jakarta (INA),28 AUG 2018,1127
60,10533,20.61,0.7,Taegeon PARK,08 MAY 1991,KOR,5,Jakarta (INA),29 AUG 2018,1126
61,10533,20.61,0.4,Dwight ST. HILLAIRE,05 DEC 1997,TTO,4,"Fayetteville, AR (USA)",11 MAY 2019,1126
62,10533,20.61,-0.1,McKinley WEST,,USA,1,"Charlotte, NC (USA)",12 MAY 2019,1126
63,10533,20.61,0.6,Mustaqeem WILLIAMS,24 AUG 1995,USA,1h5,"Jacksonville, FL (USA)",24 MAY 2019,1126
64,10533,20.61,-0.5,Mouhamadou FALL,25 FEB 1992,FRA,1f1,Sarcelles (FRA),18 JUN 2019,1129
65,10533,20.61,-1.1,Richard KILTY,02 SEP 1989,GBR,1,Luzern (SUI),09 JUL 2019,1132
66,10533,20.61,1.1,Chederick VAN WYK,18 FEB 1995,RSA,4,Padova (ITA),16 JUL 2019,1126
67,10533,20.61,0.4,Sydney SIAME,07 OCT 1997,ZAM,1h4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",29 AUG 2019,1126
68,10533,20.61,0.1,Andre EWERS,07 JUN 1995,JAM,6sf2,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1126
69,10533,20.61,-0.1,Reynier MENA,21 NOV 1996,CUB,7sf3,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1126
70,10533,20.61,0.5,Anthony José ZAMBRANO,17 JAN 1998,COL,2,Cartagena de Indias (COL),30 NOV 2019,1126
71,10533,20.61,0.2,Sydney SIAME,07 OCT 1997,ZAM,1f3,"National Heroes Stadium, Lusaka (ZAM)",01 FEB 2020,1126
